subject_id,career_id,subject_name,term,official_url,link_raw,manual_raw,notes,starts
1,1,Procedimientos y Técnicas Policiales,Anual,,,ok,anual,1.0
2,1,Marco Legal de Actuación Policial,Anual,,,,anual,1.0
3,1,Técnicas de Comunicación y Metodología de Estudio,1° cuatrimestre,,,,,
4,1,Tecnologías de la Información y de la Comunicación,1° cuatrimestre,,,,,
5,1,Actuación Policial frente a Emergencias y Siniestros,1° cuatrimestre,,,,,
6,1,Educación Física Policial,Anual,,,ok,anual,1.0
7,1,Defensa Policial,Anual,,,ok,anual,2.0
8,1,"Manejo de Armas de Fuego, Tiro y Equipamiento",Anual,,,ok,anual,2.0
9,1,Técnica de Investigación Criminal,Anual,,,ok,anual,2.0
10,1,Conducción Vehicular Policial,Anual,,,ok,anual,2.0
11,1,Psicología General y Criminal,1° cuatrimestre,,,,,
12,1,Sociología Criminal,2° cuatrimestre,,,,,
13,1,Tecnologías de la Comunicación Aplicadas a la Seguridad,2° cuatrimestre,,,,,
14,1,Seguridad Pública Ciudadana,1° cuatrimestre,,,,,
15,1,Abordaje y Resolución de Conflictos,2° cuatrimestre,,,,,
16,1,Metodología de la Investigación y Estadística Criminal,2° cuatrimestre,,,,,
17,1,Prevención Integral del Delito,2° cuatrimestre,,,,,
18,1,Aproximación al Ámbito Laboral I,2° cuatrimestre,,,,,
19,1,Protocolo de Actuación Policial,3,https://chatgpt.com/g/g-67fe784e4d40819197a7c16a131241f6,https://chatgpt.com/g/g-67fe784e4d40819197a7c16a131241f6,,,
20,1,Criminología Aplicada,3,,,,,
21,1,Identidad Policial,3,,,,,
22,1,Seguridad Rural y Ciudadana,3,,,,,
23,1,Liderazgo y Conducción de Equipos,3,,,,,
24,1,Geopolítica de la Seguridad y Crimen Organizado,3,,,,,
25,1,Policía de Proximidad,2° cuatrimestre,,,,,
26,1,Análisis del Delito,3,,,,,
27,1,Aproximación al Ámbito Laboral II,3,,,,,
28,1,Entrenamiento Físico,Anual,,,,anual,3.0
29,1,Planificación Estratégica y Gestión de la Seguridad,4,,,,,
30,1,Aproximación Al Ámbito Laboral III,4,,,,,
31,1,Inglés Técnico,4,,,,,
32,1,Historia Social de las Instituciones de Seguridad,4,,,,,
33,2,Derecho Penal y Procesal Penal en la Actuación del Bombero,1° cuatrimestre,,,,,
34,2,Derecho Administrativo y Gestión del Cuerpo de Bomberos,1° cuatrimestre,,,,,
35,2,Matemática Aplicada,1° cuatrimestre,,,,,
36,2,Bioseguridad y Primeros Auxilios,1° cuatrimestre,,,,,
37,2,Psicología de la Emergencia y de la Intervención en Crisis,1° cuatrimestre,,,,,
38,2,Historia y Organización del Cuerpo de Bomberos,1° cuatrimestre,,,,,
39,2,Régimen de Intervención del Cuerpo de Bomberos y Comunicación de la Emergencias I,1° cuatrimestre,,,,,
40,2,Educación Física para el Bombero I,1° cuatrimestre,,,,,
41,2,Equipamiento Profesional I,1° cuatrimestre,,,,,
42,2,Técnicas de Búsqueda y Salvamento I,1° cuatrimestre,,,,,
43,2,Conducción Vehicular Profesional,1° cuatrimestre,,,,,
44,2,Química,1° cuatrimestre,,,,,
45,2,Dinámica de Incendios,1° cuatrimestre,,,,,
46,2,Aproximación al Ámbito Laboral I,1° cuatrimestre,,,,,
47,2,Física,2° cuatrimestre,,,,,
48,2,Tecnologías de la Información y la Comunicación,2° cuatrimestre,,,,,
49,2,Régimen de Intervención del Cuerpo de Bomberos y Comunicación de la Emergencias II,2° cuatrimestre,,,,,
50,2,Auxilios Primarios en Zona de Impacto,2° cuatrimestre,,,,,
51,2,Técnicas de Intervención,2° cuatrimestre,,,,,
52,2,Derecho Constitucional y Derechos Humanos,2° cuatrimestre,,,,,
53,2,Identidad Profesional del Bombero,2° cuatrimestre,,,,,
54,2,Técnicas de Búsqueda y Salvamento II,2° cuatrimestre,,,,,
55,2,Educación Física para el Bombero II,2° cuatrimestre,,,,,
56,2,Aproximación al Ámbito Laboral II,2° cuatrimestre,,,,,
57,2,Mecánica y Técnicas de Operación para Autobombas,2° cuatrimestre,,,,,
58,2,Equipamiento Profesional II,2° cuatrimestre,,,,,
59,2,Metodología de la Investigación Científica,2° cuatrimestre,,,,,
60,2,Servicios y Suministros Energéticos,2° cuatrimestre,,,,,
61,2,Protección Contra Incendios,3,,,,,
62,2,Inglés Técnico,3,,,,,
63,2,Confección e Interpretación de Planos,3,,,,,
64,2,"Comunicación, Liderazgo y Conducción de Equipos",3,,,,,
65,2,Criminalística en la función Profesional,3,,,,,
66,2,Aproximación al Ámbito Laboral III,4,,,,,
67,2,Entrenamiento Físico,4,,,,,
68,2,Protección Civil y Evacuación en la Emergencia,4,,,,,
69,2,Higiene y Seguridad,4,,,,,
70,2,Materiales Peligrosos,4,,,,,
71,2,Investigación Pericial,4,,,,,
